team,season,points,yards,touchdown,field_goal,missed_fg,punt,turnovers,safety,total,end_of_period,blocked_punt,downs,blocked_fg,playoff
NYG,2011,400,6022,43,25,6,75,31,1,196,15,0,0,0,1
NYJ,2011,363,4993,32,29,1,92,31,1,208,21,1,0,0,0
PHI,2011,328,5198,38,16,8,85,24,0,195,24,0,0,0,0
PIT,2011,227,4348,22,22,5,87,15,0,169,18,0,0,0,1
SF,2011,229,4931,23,22,5,87,38,1,193,17,0,0,0,1
SEA,2011,315,5315,28,28,9,81,31,0,196,17,2,0,0,0
TB,2011,494,6311,56,23,6,58,24,0,184,17,0,0,0,0
TEN,2011,317,5682,31,27,1,83,23,0,187,20,2,0,0,0
WAS,2011,367,5437,37,34,7,70,21,0,190,21,0,0,0,0
ARI,2012,357,5405,32,25,10,93,33,1,211,16,1,0,0,0
ATL,2012,299,5849,30,27,5,64,31,1,180,22,0,0,0,1
BAL,2012,344,5615,30,37,2,89,25,1,192,8,0,0,0,1
BUF,2012,435,5806,48,21,7,72,21,0,186,17,0,0,0,0
CAR,2012,363,5329,33,35,2,67,23,1,176,15,0,0,0,0
CHI,2012,277,5050,25,23,4,89,44,2,195,7,1,0,0,0
CIN,2012,320,5115,29,27,5,86,30,0,191,13,1,0,0,1
CLE,2012,368,5821,41,20,4,88,29,0,199,17,0,0,0,0
DAL,2012,400,5687,39,29,4,74,16,0,175,13,0,0,0,0
DEN,2012,289,4652,30,22,3,94,24,1,193,18,1,0,0,1
DET,2012,437,5458,39,31,10,79,17,0,190,14,0,0,0,0
GB,2012,336,5388,36,26,4,75,23,0,187,22,1,0,0,1
HOU,2012,331,5172,34,21,3,92,29,1,200,18,2,0,0,1
IND,2012,387,5988,37,32,9,71,15,0,180,16,0,0,0,1
JAX,2012,444,6088,40,36,7,68,23,0,191,16,1,0,0,0
KC,2012,425,5704,40,32,6,74,13,0,178,12,1,0,0,0
LV,2012,443,5672,46,31,6,69,19,0,187,15,1,0,0,0
LAC,2012,350,5223,38,19,2,80,28,0,182,14,1,0,0,0
LAR,2012,348,5482,34,30,7,73,21,0,185,19,1,0,0,0
MIA,2012,317,5708,28,31,9,86,16,0,183,12,1,0,0,0
MIN,2012,348,5600,38,25,5,76,22,0,187,21,0,0,0,1
NE,2012,331,5972,37,21,4,67,41,1,196,25,0,0,0,1
NO,2012,454,7042,49,27,6,63,26,1,192,19,1,0,0,0
NYG,2012,344,6134,35,26,4,54,35,0,175,21,0,0,0,0
NYJ,2012,375,5174,37,22,9,89,23,1,193,12,0,0,0,0
PHI,2012,444,5491,44,27,2,78,13,0,182,17,1,0,0,0
PIT,2012,314,4413,28,28,5,88,20,0,182,13,0,0,0,0
SF,2012,273,4710,26,22,5,79,25,1,180,21,1,0,0,1
SEA,2012,245,4899,23,23,2,78,31,1,169,10,1,0,0,1
TB,2012,394,6078,43,19,9,79,26,0,192,12,4,0,0,0
TEN,2012,471,5999,47,29,2,70,24,0,191,18,1,0,0,0
WAS,2012,388,6043,42,28,2,65,31,0,183,15,0,0,0,1
ARI,2013,324,5079,34,25,7,88,30,1,204,19,0,0,0,0
ATL,2013,443,6070,45,34,1,62,21,0,175,12,0,0,0,0
BAL,2013,352,5368,32,32,3,98,24,0,204,15,0,0,0,0
BUF,2013,388,5334,38,31,5,94,30,0,214,16,0,0,0,0
CAR,2013,241,4820,21,30,4,73,30,2,178,18,0,0,0,1
CHI,2013,478,6313,47,28,2,58,28,1,178,14,0,0,0,0
CIN,2013,305,4888,28,26,5,90,31,1,197,15,1,0,0,1
CLE,2013,406,5319,42,27,5,88,21,1,203,19,0,0,0,0
DAL,2013,432,6645,50,25,4,61,28,0,189,21,0,0,0,0
DEN,2013,399,5696,44,23,3,89,26,1,206,18,2,0,0,1
DET,2013,376,5546,34,37,3,84,22,0,199,19,0,0,0,0
GB,2013,428,5956,46,24,6,70,22,1,180,10,1,0,0,1
HOU,2013,428,5081,40,30,5,91,11,1,194,16,0,0,0,0
IND,2013,336,5713,35,23,7,75,27,1,183,15,0,0,0,1
JAX,2013,449,6070,49,26,3,76,21,0,197,20,2,0,0,0
KC,2013,305,5885,34,22,6,87,36,1,204,18,0,0,0,1
LV,2013,453,5819,48,25,3,77,22,0,189,11,3,0,0,0
LAC,2013,348,5864,37,23,7,65,17,0,166,17,0,0,0,1
LAR,2013,364,5520,39,18,8,74,29,1,184,15,0,0,0,0
MIA,2013,335,5750,31,34,6,78,24,1,194,19,1,0,0,0
MIN,2013,480,6362,51,27,2,77,20,0,197,20,0,0,0,0
NE,2013,338,5969,36,22,5,80,29,0,196,24,0,0,0,1
NO,2013,304,4891,31,24,4,83,19,0,181,20,0,0,0,1
NYG,2013,383,5316,33,29,1,87,29,1,200,19,1,0,0,0
NYJ,2013,387,5359,35,33,4,82,15,0,192,21,2,0,0,0
PHI,2013,382,6304,37,27,5,74,31,0,196,22,0,0,0,1
PIT,2013,370,5395,39,28,3,79,20,0,190,21,0,0,0,0
SF,2013,272,5071,30,20,5,87,30,1,191,16,2,0,0,1
SEA,2013,231,4378,20,26,1,82,39,0,186,17,1,0,0,1
TB,2013,389,5568,40,31,1,68,31,1,187,13,2,0,0,0
